final_balance,income_mean,outcome_mean,incomes_max,incomes_min,outcomes_max,outcomes_min,fequent_operation_hour
160.86,504.15,556.14,993.56,52.29,993.46,31.7,13
-7503.48,489.34,512.18,955.37,26.77,985.98,44.09,3
-2242.8,463.74,502.42,979.33,36.42,989.14,34.09,22
3595.7,540.72,545.45,999.54,12.8,963.58,32.05,16
5077.98,616.92,520.81,991.75,27.67,966.56,24.45,2
1347.34,517.16,501.78,981.22,6.41,986.42,24.82,18
596.95,525.58,544.06,978.45,1.63,998.69,36.13,21
-1551.63,439.75,532.36,974.52,14.61,957.57,31.04,1
-3991.78,489.68,422.38,955.47,187.45,988.98,2.34,17
2730.39,451.86,530.47,986.81,28.74,926.99,55.65,10
-1572.56,501.64,531.32,986.45,14.32,992.11,8.18,18
-3686.31,550.6,501.42,949.22,11.3,978.5,37.9,11
540.22,500.71,499.3,960.84,21.04,946.93,11.63,4
-9345.24,460.06,554.47,987.25,15.75,989.99,8.94,21
-8270.14,418.51,462.23,833.83,61.06,984.3,57.94,2
241.73,432.95,423.28,997.5,16.16,985.41,14.5,10
-4913.18,517.02,548.79,994.98,10.87,994.77,30.03,3
-169.1,550.38,534.5,979.55,1.37,998,7.05,3
4766.15,510.5,474.6,950.19,2.16,975.28,28.17,6
6101.92,452.46,457.51,987.25,4.32,944.85,6.74,16
-5415.26,486.59,510.38,999.57,9.62,888.9,10.58,10
-1993.56,426.09,434.86,987.66,58.17,994.98,40.44,3
-3043.66,443.35,567.88,949.12,19.75,979.95,70.03,21
-2113.79,555,553,995.64,0.38,995.61,5.4,12
1142.09,399.26,419.94,925.74,20.81,907.15,1.02,16
-1490.73,559.15,509.44,995.93,38.46,996.8,2.11,23
-2673.08,378.68,517.4,877.85,14.36,982.51,14.61,0
-1923.58,462.62,525.93,990.84,16.19,985.36,11.35,16
-1339.48,522,512.15,954.31,92.03,874.07,60.9,8
-14625.01,444.14,545.56,999.6,39.26,996.03,29.31,10
-3458.35,516.52,548.33,975.07,4.59,992.83,37.58,16
-5133.16,525.95,593.61,989.71,5.58,954.91,21.15,4
1392.4,520.31,525,986.9,1.95,966.83,37.06,18
-1651.95,507.11,412.13,995.36,2.92,961.26,0.98,8
-5418.76,450.61,569.39,948.15,12.55,962.77,0.81,16
5920.07,591.9,507.29,964.18,16.99,999.03,9.08,23
-12809.24,456.65,558.49,931.91,25.45,996.79,11.19,14
-4549.08,431.71,553.46,899.08,11.06,986.6,52.18,3
6303.74,570.8,553.78,998.6,12.55,975.32,101.9,17
4666.39,579.31,551.52,938.22,1.56,985.1,23.36,16
5579.85,517.12,479.15,937.55,56.32,953.72,14.83,2
3600.52,525.4,589.48,964.56,4.79,996.9,9.58,4
